Country,Date Start,Date end intended
Denmark,14-Mar-20,13-Apr-20
Greece,18-Mar-20,1-Apr-20
South Korea,23-Mar-20,5-Apr-20
US:Delaware,13-Mar-20,27-Mar-20
US: Wisconsin,18-Mar-20,3-Apr-20
US:Delaware,12-Mar-20,5-Apr-20
US: Virginia,13-Mar-20,28-Mar-20
Greece,23-Mar-20,6-Apr-20
US: Illinois,17-Mar-20,30-Mar-20
Greece,22-Mar-20,30-Apr-20
US: Indiana,25-Mar-20,7-May-20
US: Indiana,19-Mar-20,1-May-20
Palestine,5-Mar-20,4-Apr-20
US: Indiana,25-Mar-20,7-May-20
US: Indiana,25-Mar-20,7-May-20
US: Indiana,25-Mar-20,7-May-20
Palestine,5-Mar-20,4-Apr-20
China,2-Feb-20,8-Feb-20
China,3-Feb-20,9-Feb-20
China,4-Feb-20,6-Feb-20
Croatia,19-Mar-20,19-Apr-20
South Korea,23-Mar-20,5-Apr-20
Poland,25-Mar-20,11-Apr-20
Poland,25-Mar-20,11-Apr-20
Spain,11-Mar-20,25-Mar-20
United Kingdom,23-Mar-20,13-Apr-20
Nepal,7-Mar-20,30-Mar-20
Nepal,15-Mar-20,31-Mar-20
Nepal,14-Mar-20,30-Apr-20
Nepal,14-Mar-20,30-Apr-20
Nepal,20-Mar-20,15-Apr-20
Nepal,18-Mar-20,26-Mar-20
Nepal,18-Mar-20,12-Apr-20
Nepal,20-Mar-20,3-Apr-20
Nepal,22-Mar-20,31-Mar-20
Nepal,20-Mar-20,12-Apr-20
Nepal,23-Mar-20,30-Mar-20
Switzerland,16-Mar-20,19-Apr-20
Japan,5-Feb-20,19-Feb-20
Kazakhstan,16-Mar-20,15-Apr-20
Cyprus,15-Mar-20,29-Mar-20
Cyprus,15-Mar-20,29-Mar-20
Cyprus,24-Mar-20,13-Apr-20
Cyprus,24-Mar-20,13-Apr-20
Cyprus,15-Mar-20,10-Apr-20
Cyprus,24-Mar-20,13-Apr-20
Cyprus,24-Mar-20,13-Apr-20
Cyprus,24-Mar-20,13-Apr-20
Namibia,15-Mar-20,14-Apr-20
Namibia,27-Mar-20,16-Apr-20
Namibia,25-Mar-20,15-Apr-20
South Africa,26-Mar-20,16-Apr-20
South Africa,26-Mar-20,16-Apr-20
Germany,22-Mar-20,5-Apr-20
US:New York,16-Mar-20,20-Apr-20
US:New York,11-Mar-20,18-Mar-20
Georgia,29-Jan-20,29-Mar-20
Georgia,29-Feb-20,16-Mar-20
Uganda,18-Mar-20,19-Apr-20
Uganda,20-Mar-20,19-Apr-20
Uganda,20-Mar-20,21-Apr-20
Uganda,24-Mar-20,23-Apr-20
US:Alabama,18-Mar-20,5-Jun-20
US:Alabama,27-Mar-20,17-Apr-20
US:Alaska,16-Mar-20,1-May-20
Ireland,27-Mar-20,12-Apr-20
Ireland,27-Mar-20,12-Apr-20
Ireland,27-Mar-20,12-Apr-20
Ireland,27-Mar-20,12-Apr-20
Ireland,27-Mar-20,12-Apr-20
Ireland,27-Mar-20,12-Apr-20
US: Massachussets,15-Mar-20,7-Apr-20
US:Arkansas,17-Mar-20,17-Apr-20
US:Arkansas,13-Mar-20,12-Apr-20
US:Colorado,14-Mar-20,6-Apr-20
US:Colorado,23-Mar-20,30-Apr-20
US:Colorado,19-Mar-20,17-Apr-20
US:Colorado,26-Mar-20,11-Apr-20
US: Massachussets,24-Mar-20,4-May-20
Taiwan,2-Feb-20,25-Feb-20
Taiwan,20-Mar-20,30-Jun-20
US:Hawaii,17-Mar-20,6-Apr-20
US:Hawaii,20-Mar-20,4-Apr-20
US:Hawaii,25-Mar-20,30-Apr-20
US:Hawaii,25-Mar-20,30-Apr-20
US:Kentucky,20-Mar-20,20-Apr-20
US: Rhode Island,17-Mar-20,13-Apr-20
US: Rhode Island,24-Mar-20,15-Apr-20
US: Rhode Island,22-Mar-20,13-Apr-20
US: Rhode Island,30-Mar-20,30-Apr-20
